id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B025003YN2,[],晃岩路35-6号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],思明区,厦门市鼓浪屿风景名胜区,"118.067020,24.444695",[],118.067020,24.444695
B025003OPX,B0FFFZ5L0I,虎园路25号,福建省,厦门市,风景名胜;公园广场;植物园,110103,2,601,思明区,厦门园林植物园,"118.109629,24.447900",0592-2985935,118.109629,24.447900
B025004995,B025003JXK,吕岭路南侧忠仑公园内惠和石文化园C区,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,301,湖里区,惠和石文化园,"118.151139,24.487292",0592-5518977,118.151139,24.487292
B025000BC5,[],曾厝路2号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],思明区,胡里山炮台,"118.106383,24.429475",0592-2088313,118.106383,24.429475
B0250043S7,[],集杏海堤东段园博园景区管理处,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],集美区,厦门园林博览苑,"118.073072,24.582621",0592-6220908;0592-6259258;0592-6259200,118.073072,24.582621
B025000335,B0FFJAXMBV,鳌园路24号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,601,集美区,嘉庚公园,"118.107459,24.568728",0592-6064884;0592-6687362;12301,118.107459,24.568728
B0250043RA,[],海沧台商投资区马青路青礁村岐山东鸣岭,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],海沧区,青礁慈济祖宫,"117.973240,24.485831",0592-6881818,117.973240,24.485831
B02500SJWD,[],石浔南路1111号,福建省,厦门市,体育休闲服务;休闲场所;游乐场,080501,0,[],同安区,厦门方特梦幻王国,"118.174976,24.679506",0592-3873100;4001660006,118.174976,24.679506
B0FFG1J3QJ,B0FFG1AB0Q,华夏路9号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,301,集美区,厦门老院子民俗文化风情园,"118.076358,24.624989",0592-6661072,118.076358,24.624989
B025004RIJ,[],东孚镇洪塘村天竺山路1号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],海沧区,天竺山森林公园,"117.917172,24.599970",0592-6311965;0592-6380609,117.917172,24.599970
B025004QHM,[],莲花镇内田村,福建省,厦门市,地名地址信息;普通地名;村庄级地名|风景名胜;风景名胜相关;旅游景点,190108|110000,2,[],同安区,金光湖(暂停开放),"117.955822,24.751164",0592-7557555,117.955822,24.751164
B025004POX,[],灌口镇坑内村西部,福建省,厦门市,风景名胜;风景名胜相关;旅游景点,110000,2,[],集美区,双龙潭运动景区,"117.951933,24.611233",0592-6097977;15959256899,117.951933,24.611233
B025004RJW,[],轮三路339号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],同安区,厦门同安影视城(暂停开放),"118.165286,24.744326",0592-7302779;0592-7302870,118.165286,24.744326
B0FFJZ6M2S,B0FFHWQDHE,护安路652号凌云玉石总部大厦B306,福建省,厦门市,风景名胜;风景名胜相关;旅游景点,110000,2,202,湖里区,厦门凌云玉石博物馆,"118.155678,24.529489",0592-5033756,118.155678,24.529489
B025003J74,B0FFFZ5L0I,虎园路25号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,301,思明区,万石山,"118.109246,24.449048",0592-2961602,118.109246,24.449048
B0FFFS32T3,[],同集中路1666号古龙工业园内(近潘涂),福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],同安区,古龙酱文化园(暂停开放),"118.142169,24.647071",0592-7392190;0592-7392173,118.142169,24.647071
B025004OM2,[],五显镇北山岩,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],同安区,北辰山景区,"118.248352,24.799081",0592-7232155,118.248352,24.799081
B0250043SD,[],吕岭路2017号,福建省,厦门市,科教文化服务;博物馆;博物馆,140100,0,[],思明区,厦门奥林匹克博物馆(暂停营业),"118.193669,24.477737",0592-2956065;0592-2956066,118.193669,24.477737
B0FFFYINIF,[],环嶝北路88-100号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],翔安区,大嶝小镇,"118.338136,24.554742",0592-7099588,118.338136,24.554742
