id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat,grade
B0FFIR974G,[],天马路何山埔94号,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,1,[],集美区,厦门天然居快捷酒店,"118.089137,24.628728",18150092336,118.089137,24.628728,6.1
B0FFIC7S1D,[],禾山街道围里社628号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],湖里区,厦门易居公寓,"118.145262,24.527507","13023982279;+862126137886,4122378",118.145262,24.527507,5.6
B0FFIIIWHN,[],后溪镇珩山一里1-13号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],集美区,驿起酒店(厦门北站店),"118.079913,24.637006",0592-6375666,118.079913,24.637006,7.4
B02500QLL9,[],乐安东里19号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],集美区,诚都商务酒店,"118.100553,24.585577",0592-3800800;0592-6211205,118.100553,24.585577,7.4
B02500QJ09,[],杏林文康路377号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],集美区,锦江之星(厦门集美杏林店),"118.053367,24.566894",0592-6373999,118.053367,24.566894,7.4
B0FFH0R6AH,[],曾厝埯458号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门椰海风情客栈,"118.125672,24.428534",15345987688,118.125672,24.428534,7.4
B02500VMHE,[],殿前六路37号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],湖里区,汉庭酒店(厦门机场店),"118.106267,24.528078",0592-6111188,118.106267,24.528078,7.4
B0FFF362WK,B0FFLFBWRR,曾厝埯472号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,324,思明区,晓风设计师名宿,"118.125926,24.428950",0592-2518260,118.125926,24.42895,5.1
B02500TBYM,B02500QJHL,厦禾路1130号之5京华大厦26层,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,202,思明区,7天连锁酒店(厦门火车站店),"118.120983,24.473631",0592-3997777;0592-7533777,118.120983,24.473631,9
B0FFKSVRUB,[],曾厝东宅3号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,厦门过客臻品美宿,"118.118774,24.436478",18059883275,118.118774,24.436478,8
B0FFF60CJQ,[],马巷镇池王宫2000号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],翔安区,锦江之星(厦门马巷店),"118.250183,24.670492",0592-6383999,118.250183,24.670492,5
B02500VCFS,B025003IUP,中山路110-132号顺丰快递隔壁上斜坡走到底,福建省,厦门市,住宿服务;旅馆招待所;青年旅舍|住宿服务;宾馆酒店;宾馆酒店,100201|100100,1,324,思明区,考拉国际青年酒店(厦门中山路轮渡店),"118.077728,24.452749",0592-2025359;0592-2561088,118.077728,24.452749,4
B0G3KRNQCB,[],鹭江街道97-99号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,厦门讴印庭院酒店(厦鼓码头白鹭洲店),"118.074844,24.465772",18150387827,118.074844,24.465772,5
B0FFFQTJ8P,B025003YN2,福州路60号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,302,思明区,厦门初夏度假旅馆,"118.069436,24.447462",0592-2564477,118.069436,24.447462,7
B0FFKR1HNT,B0FFF7XTCJ,山城镇中山南路14-3,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所|住宿服务;宾馆酒店;宾馆酒店,100200|100100,1,202,思明区,初夏,"118.142071,24.435722",13850542490,118.142071,24.435722,5
B02500RPY3,B0FFF5V9BV,厦禾路842号金榜大厦6层(后埭溪路与厦禾路交汇处),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,思明区,厦门靠海居宾馆,"118.108158,24.466644","0592-6030126;+862126137886,4741129",118.108158,24.466644,8
B02500RQ27,[],湖滨南路268号(湖滨东路地铁站2号口步行220米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,哥尔曼商务宾馆(滨南店),"118.106547,24.472648",0592-5857536;0592-6665559;15959242985,118.106547,24.472648,5
B02500QDZP,[],长虹路198号寨上2组10号综合楼,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],湖里区,7天优品酒店(厦门机场翔鹭店),"118.102477,24.522694",0592-2989777;0592-5530000,118.102477,24.522694,6
B0FFI7VCJM,B0H1VAQI5H,霞阳社区霞阳中路198好402室,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,324,海沧区,厦门悦好瀚都商务宾馆,"118.018907,24.532593",0592-5701588,118.018907,24.532593,6
B02500SYKK,B02500S97U,大同路67-75号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,324,思明区,厦门鑫利圆酒店(中山路店),"118.076011,24.456140",0592-2050669,118.076011,24.45614,6
B02500S5FL,B0FFH1GHDR,霞溪路103号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,思明区,厦门三公馆酒店,"118.081408,24.456158",0592-2118687;18650172372;4000133703,118.081408,24.456158,6
B02500VCIV,B025003IUP,中山路108号之118号1-4层,福建省,厦门市,住宿服务;宾馆酒店;三星级宾馆,100104,0,324,思明区,厦门中山印象酒店,"118.078147,24.453070",0592-3753339,118.078147,24.45307,9
B0FFK57DMW,[],曾厝261号,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,0,[],思明区,厦门度尚设计型民宿,"118.126373,24.426831",0592-2086757,118.126373,24.426831,6
B0FFGP7ZUF,[],黄厝贸后150号之1号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,米洛主题民宿(茂新路分店),"118.154983,24.446630","15959205118;+862126137886,20881",118.154983,24.44663,5
B0FFKKL95Q,[],滨海街道曾厝天泉东里17号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,海悦湾二号民宿,"118.131339,24.424817",18159894979,118.131339,24.424817,4
B0FFKLLSOD,[],围里社1657号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],湖里区,厦门云泊栖宿公寓,"118.148715,24.531788",13774692918,118.148715,24.531788,3.7
B0FFGJQTHA,[],曾厝社教堂街101号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门伴海情缘度假客栈,"118.124439,24.427479",13123372420,118.124439,24.427479,8.7
B0FFHCS3QR,[],新阳工业区新埯村新安中路鑫旺鑫手机城后面,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,0,[],海沧区,厦门帝豪公寓,"117.998932,24.522453",13616016880;15259283397,117.998932,24.522453,5.7
B0FFHO8NHW,[],同集南路乐安东里6号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],集美区,如家酒店・neo(厦门北站集美大学店),"118.100538,24.584710",0592-6683789,118.100538,24.58471,5.7
B0FFLET3UB,[],新店镇福祥路38号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],翔安区,厦门出尘设计师民宿,"118.245811,24.603636",18005026036,118.245811,24.603636,5.7
B025004LPI,B0FFH1LHE8,演武路27号2层,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,思明区,厦门怡都酒店(厦大南普陀店),"118.092679,24.436282","0592-2190399;13306006450;+862126137886,5674621",118.092679,24.436282,5.7
B025004L4P,B0FFI7A6DC,新盛路19号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店|购物服务;购物相关场所;购物相关场所,100100|060000,0,324,海沧区,远东之星酒店(厦门海沧店),"117.999848,24.519012",0592-6206888,117.999848,24.519012,5.7
B0FFHFQDG3,[],站西路158号之1(厦门火车站地铁站出入口步行90米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,厦门麦双洁酒店,"118.114770,24.467660",0592-5800763;0592-5800978;13950199081,118.11477,24.46766,6.6
B0FFK4GACT,B025002UFP,海天路65号鹭辉大厦3层,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,湖里区,曼可连锁酒店(厦门海天店),"118.100613,24.504749",0592-5688100;18050126553,118.100613,24.504749,6.6
B025004A7S,B0FFGIX0YN,沧虹路145号(马青路地铁站3号口步行470米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,324,海沧区,永成酒店(厦门马青路地铁站店),"118.034148,24.495795",0592-6806999,118.034148,24.495795,6.6
B0FFFD3P1B,[],"后溪镇孙坂南路英埭头104号(毗邻厦门北站,火车站)",福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],集美区,厦门北站旅馆,"118.082664,24.617248",0592-6227375;13850091058;15359897375,118.082664,24.617248,6.6
B02500RQ0R,B025003YN2,泉州路厦门鼓浪屿海岸花旅馆,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,302,思明区,鼓浪屿海岸花民宿(泉州路1号分店),"118.068584,24.444660","0592-2088830;18020773916;+862126137886,4736712",118.068584,24.44466,7
B0FFGXHHQ6,[],黄厝社209号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店|住宿服务;旅馆招待所;旅馆招待所,100100|100200,0,[],思明区,厦门丽思卡海景度假客栈,"118.159243,24.444037",0592-2683295,118.159243,24.444037,4
B0FFF33TSG,[],公园南路81号(中山公园地铁站3A口步行370米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,如家酒店(厦门中山路步行街店),"118.086105,24.456051",0592-2676333;18900227332,118.086105,24.456051,6.6
B0FFKKEBVL,[],曾厝东宅5号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门Good Time黎夕民宿,"118.118763,24.436649",[],118.118763,24.436649,8.1
B0FFKVGABR,[],滨海街道黄厝溪头下18号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门当归沐浪民宿,"118.142166,24.429483","18064402609;+862126137886,5330165",118.142166,24.429483,5.3
B0FFFH3IL2,B025003ZCU,湖滨东路9号(厦门火车站地铁站5号口步行50米),福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,1,202,思明区,莫泰-厦门火车站万象城店,"118.113638,24.470029",0592-5897192;0592-5897206,118.113638,24.470029,5.3
B0FFFEGGKL,[],黄厝路205号之2号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,厦门半岛小镇海景客栈,"118.158625,24.443630","0592-2569399;18020768816;+862126137886,4424533",118.158625,24.44363,5.3
B025003Z3J,B025003IUP,南大沟巷10号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,324,思明区,银洲主题民宿(中山路步行街分店),"118.079328,24.453933","0592-2021138;13755879818;+862126137886,17423023",118.079328,24.453933,3.6
B0FFLLW8HQ,[],曾厝东宅72号-1,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,美佳・美宿(厦门曾厝厦门大学店),"118.117964,24.437896",0592-2197158;18120716583,118.117964,24.437896,3.6
B0FFFEX95M,[],黄厝155号附3号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,厦门鲸滟奢享民宿,"118.156449,24.445156","0592-2229599;+862126137886,5033869",118.156449,24.445156,3.6
B0FFKUVCI8,[],曾厝社78-1号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,杏宿海景民宿(环岛南路分店),"118.124664,24.426298","0592-2097278;18965181079;+862126137886,4162467",118.124664,24.426298,3.6
B0FFKPE5UL,[],新东路5号,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,0,[],翔安区,厦门烨景精品民宿,"118.247030,24.606880",15080444426;18750299411,118.24703,24.60688,8
B02500S36G,B025003YN2,内厝澳路鼓浪屿小桃源旅馆,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,302,思明区,鼓浪屿小桃源民宿(内厝澳路分店),"118.064877,24.445503","0592-6030907;13306044207;+862126137886,17581813",118.064877,24.445503,4
B02500T4YP,[],金尚路249号一元花园店面,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],湖里区,厦门伊佳园旅馆,"118.146257,24.493767",0592-5570577;0592-8607555,118.146257,24.493767,6.8
B0FFHGS1BD,B025003IUP,定安路69号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,324,思明区,7天优品酒店(厦门中山路镇海路地铁站店),"118.079083,24.453129",0592-2980177;0592-2980877,118.079083,24.453129,5
B0FFIC7S1E,[],坂尚路围里社723号宸鸿科技1号门斜对面,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],湖里区,厦门新阳光公寓,"118.143530,24.528548","13023982280;+862126137886,4176292",118.14353,24.528548,3
B02500QI27,[],行政中心禾山路1301-1309号,福建省,厦门市,住宿服务;宾馆酒店;四星级宾馆,100103,1,[],湖里区,布书・禾正大酒店,"118.135647,24.518031",0592-5515555;15396270650,118.135647,24.518031,6
B0250048XO,[],台湾街天地花园277号2层,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所|住宿服务;宾馆酒店;宾馆酒店,100200|100100,1,[],湖里区,厦门兴顺阁酒店,"118.132652,24.497155",0592-7621995,118.132652,24.497155,6
B0FFFQ6NUY,[],槟榔东里24号(育秀东路地铁站10号口步行330米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,如家酒店・neo(厦门体育中心槟榔路湖景店),"118.114383,24.484040",0592-3199883;0592-3199889;15960226436,118.114383,24.48404,6.4
B02500QLSG,B025003WC4,城南路299号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,202,同安区,如家酒店・neo(厦门同安区政府城南路店),"118.147487,24.720493",0592-7192555,118.147487,24.720493,3.8
B0FFHOBKWF,B02500TDUO,杏北路二号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,集美区,浪漫都市酒店(厦门集美杏林店),"118.041839,24.565229",0592-3162587;0592-8605971,118.041839,24.565229,7.1
B0FFITFUJR,B0250031CC,嘉禾路267号惠元大厦6楼,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,思明区,诺一酒店(厦门明发店),"118.124086,24.485340",0592-5510700;0592-5511366,118.124086,24.48534,4.6
B0FFLB14AR,[],曾厝西里57号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门苏菲亚城堡庄园客栈,"118.115890,24.434539",17359879221,118.11589,24.434539,5
B025001065,[],江头街道江头东路8号(江头地铁站1号口步行470米),福建省,厦门市,住宿服务;宾馆酒店;三星级宾馆,100104,0,[],湖里区,忆洲分时酒店(江头店),"118.134514,24.493968",0592-5587872;0592-5587875;0592-5587876;0592-5587878,118.134514,24.493968,7.9
B0FFI6ACDA,B0FFLFBWRR,曾厝社471号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,324,思明区,厦门丽舍・朵拉庄园,"118.125799,24.429056",18030301222,118.125799,24.429056,4.7
B0FFKXEKLA,[],黄厝塔头中路115-4,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门如故民宿,"118.143359,24.435366",13306049495,118.143359,24.435366,8.8
B025003ZBS,[],禾祥东路186-188号3层,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所|住宿服务;宾馆酒店;宾馆酒店,100200|100100,0,[],思明区,厦门金安旅馆,"118.116314,24.471403",0592-5817922;15960810490,118.116314,24.471403,6
B0FFKKE58Z,[],曾厝东宅50号,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,1,[],思明区,厦门早晨MorningHouse精品民宿,"118.119123,24.437831",15359296060,118.119123,24.437831,5
B02500QHZ9,[],湖滨北路245号(吕厝地铁站5号口步行80米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,梦想家酒店(厦门SM城市广场火车站店),"118.127669,24.490263",0592-2972199,118.127669,24.490263,8
B025000C44,B02500S97U,海后路36-40号(轮渡码头的对面),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,324,思明区,厦门春光酒店,"118.074383,24.454906",0592-2109599;0592-2665558,118.074383,24.454906,4
B0GRU650MF,[],西林路2-111号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,厦门朴易居筱金酒店,"118.141506,24.476152",0592-2029299,118.141506,24.476152,8
B025004LT0,[],湖滨东路40号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,如家酒店・neo(厦门火车站万象城店),"118.114667,24.470821",0592-5832777;18060927028,118.114667,24.470821,8.5
B02500QEDU,[],沙坡尾74号浪琴苑a幢第2单元,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,厦门红枫酒店,"118.087554,24.436268",0592-2368333;0592-2368388,118.087554,24.436268,6
B02500THO6,B0FFLFBWRR,曾厝北路155号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,324,思明区,厦门三个厦大人七弦居民宿,"118.124738,24.428336",18046227383,118.124738,24.428336,7
B0FFKBNC7Z,[],"洪钟大道西150米(海洋学院对面,近技师学院)",福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],翔安区,厦门鹭翔宜居公寓,"118.249824,24.589696",18106096609,118.249824,24.589696,4
B0FFFVGRTJ,[],顶澳仔14号,福建省,厦门市,住宿服务;宾馆酒店;四星级宾馆,100103,0,[],思明区,绿晶酒店,"118.093241,24.439447",0592-2679333,118.093241,24.439447,6.9
B0FFF5W9CN,B025003MX5,嘉禾路295号侨旺大厦东南门1层,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,202,思明区,来悦精品酒店(厦门火车站店),"118.125752,24.487352",0592-5060011;0592-5060022,118.125752,24.487352,5
B0FFIISKP3,[],黄厝34号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,厦门o二・隐舍轻奢海景度假美墅,"118.157407,24.442728",18020756001,118.157407,24.442728,5
B0FFFGYHDO,[],灌口镇李林村鱼孚社270号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],集美区,厦门鹭友旅社,"117.997613,24.615894",0592-6091719;13860444700,117.997613,24.615894,3
B02500QI6I,[],仙岳路452号(松柏湖花园旁),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,厦门诺一公寓SM店,"118.116252,24.493917",0592-5105077,118.116252,24.493917,4
B02500T4YY,[],中山路小西门11号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所|住宿服务;宾馆酒店;宾馆酒店,100200|100100,0,[],同安区,厦门中山宾馆,"118.149013,24.735347",0592-7226302,118.149013,24.735347,8.8
B025000A98,B025003OHA,湖滨南路328号亿宝大厦,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,思明区,厦门亿宝酒店,"118.116130,24.473992",0592-5895566;0592-5896068,118.11613,24.473992,9
B0FFFSW297,[],滨海街道塔头29号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,厦门海立间客栈,"118.141986,24.434161","0592-2562799;+862126137886,3873934",118.141986,24.434161,6
B0FFFS72DP,[],后溪镇仑上村4-78号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],集美区,雅居乐快捷酒店,"118.050224,24.626171",0592-6105311,118.050224,24.626171,5
B0FFHDY7XJ,[],环岛南路曾厝190号之1号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所|体育休闲服务;度假疗养场所;度假村,100200|080401,0,[],思明区,厦门双城记度假庄园,"118.125786,24.425232",0592-2022018;13545808668,118.125786,24.425232,7
B0FFKQATU7,[],锦祥路6号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,鼓浪屿晴宿精品客栈,"118.070743,24.445626",0592-8166555,118.070743,24.445626,7
B0FFHGONRR,B0FFGCW6CT,岭兜西路297号海艺大厦内,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,202,思明区,188酒店公寓(厦门会展店),"118.175524,24.480807",17750009894;18060999637,118.175524,24.480807,7
B0FFFF6QSV,[],鼓浪屿龙头路304号3-4层(龙头旅馆楼上),福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,鼓浪屿沙鸥居客栈,"118.070882,24.444930",0592-2570660,118.070882,24.44493,3.6
B0FFFGV1SM,[],凤祥一里13号,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,1,[],同安区,厦门凤祥商务酒店,"118.138424,24.723502",0592-7028888;13850016803,118.138424,24.723502,4.6
B02500RJ7M,[],兴隆路501号(交通银行隔壁),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],湖里区,厦门如溢时尚宾馆,"118.120735,24.508906",0592-3775699,118.120735,24.508906,5
B0FFLIHFEV,[],同集北路920号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,1,[],同安区,如家酒店・neo(厦门同安方特梦幻王国店),"118.145121,24.704085",0592-7215577;0592-7215777,118.145121,24.704085,3
B0FFK5Q2OV,[],曾厝295-1号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门盟念民宿,"118.125945,24.427653",13959804577,118.125945,24.427653,6.5
B0250048P4,[],侨英孙厝同集南路2号202单元,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],集美区,厦门颐家酒店,"118.101432,24.584370",18506912296,118.101432,24.58437,7
B0FFKBOMG1,[],翁角路636号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],海沧区,厦门兴圣优选旅馆,"118.010343,24.523607",0592-6087778;0592-6087779,118.010343,24.523607,6
B0FFJRC50V,B025003IUP,升平路38-40号(近厦门轮渡码头、鼓浪屿景区售票处),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,324,思明区,心远电竞酒店(厦门轮渡中山路步行街店),"118.075266,24.454379",0592-2100186,118.075266,24.454379,7
B0FFLFBMH5,[],仙岳路237号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,速8精选酒店(厦门白鹭洲路店),"118.097066,24.489612",0592-5030799,118.097066,24.489612,7
B0FFIRAQZQ,[],环岛路曾厝西边社2号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,环岛路阳光小屋(厦门曾厝店),"118.116093,24.429150","0592-2513062;13395020070;+862126137886,22371",118.116093,24.42915,3.3
B0G23XGW1X,[],马巷镇后滨村上庄里13-1号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],翔安区,厦门品尚公寓(火炬翔安产业园上庄店),"118.238285,24.652972",17306012915,118.238285,24.652972,5.9
B0FFFWMAT9,B025003IUP,升平路57号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,324,思明区,家家乐酒店(厦门中山路升平店),"118.075030,24.454326",0592-2196886,118.07503,24.454326,7
B025002PUJ,[],禾祥东路67号(厦门火车站地铁站6号口步行290米),福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],思明区,厦门天顺酒店,"118.114389,24.472078",0592-5880062;0592-5889301;13616049505,118.114389,24.472078,7
B0FFG7929R,[],环岛路曾厝83号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,厦门澜庭・设计民宿,"118.124413,24.426364",0592-2089766;13576567109;17306010892,118.124413,24.426364,6.7
B02500SYS9,[],华荣路26-8-9水上乐园对面,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,0,[],湖里区,厦门蓝月快捷酒店,"118.108853,24.505617",0592-5557366,118.108853,24.505617,6.1
